Type of exp	TP	FN	TN	FP	AUC	AUH	accuracy	precision	F1 score	specificity	sensitivity	acc est
SVMstd_ext-MSiHLV-norm	79	8	59	28	  0.79	  0.79	 79.31%	 73.83%	  0.81	 67.82%	 90.80%	 79.31%
SVMprob-MSiHLV-norm	80	7	59	28	  0.87	  0.88	 79.89%	 74.07%	  0.82	 67.82%	 91.95%	 79.89%
RF-MSiHLV-norm	78	9	64	23	  0.90	  0.91	 81.61%	 77.23%	  0.83	 73.56%	 89.66%	 81.61%
SVMstd_ext-MSiHLV-std	87	0	0	87	  0.50	  0.50	 50.00%	 50.00%	  0.67	  0.00%	100.00%	 50.00%
SVMprob-MSiHLV-std	87	0	0	87	  0.50	  0.50	 50.00%	 50.00%	  0.67	  0.00%	100.00%	 50.00%
RF-MSiHLV-std	73	14	68	19	  0.89	  0.90	 81.03%	 79.35%	  0.82	 78.16%	 83.91%	 81.03%
SVMstd_ext-MSiHRV-norm	87	0	0	87	  0.50	  0.50	 50.00%	 50.00%	  0.67	  0.00%	100.00%	 50.00%
SVMprob-MSiHRV-norm	87	0	0	87	  0.50	  0.50	 50.00%	 50.00%	  0.67	  0.00%	100.00%	 50.00%
RF-MSiHRV-norm	78	9	63	24	  0.89	  0.90	 81.03%	 76.47%	  0.83	 72.41%	 89.66%	 81.03%
SVMstd_ext-MSiHRV-std	87	0	0	87	  0.50	  0.50	 50.00%	 50.00%	  0.67	  0.00%	100.00%	 50.00%
SVMprob-MSiHRV-std	87	0	0	87	  0.50	  0.50	 50.00%	 50.00%	  0.67	  0.00%	100.00%	 50.00%
RF-MSiHRV-std	75	12	69	18	  0.90	  0.91	 82.76%	 80.65%	  0.83	 79.31%	 86.21%	 82.76%
SVMstd_ext-MSiHUV-norm	77	10	61	26	  0.79	  0.80	 79.31%	 74.76%	  0.81	 70.11%	 88.51%	 79.31%
SVMprob-MSiHUV-norm	75	12	65	22	  0.88	  0.89	 80.46%	 77.32%	  0.82	 74.71%	 86.21%	 80.46%
RF-MSiHUV-norm	65	22	75	12	  0.88	  0.89	 80.46%	 84.42%	  0.79	 86.21%	 74.71%	 80.46%
SVMstd_ext-MSiHUV-std	87	0	0	87	  0.50	  0.50	 50.00%	 50.00%	  0.67	  0.00%	100.00%	 50.00%
SVMprob-MSiHUV-std	87	0	0	87	  0.50	  0.50	 50.00%	 50.00%	  0.67	  0.00%	100.00%	 50.00%
RF-MSiHUV-std	73	14	66	21	  0.88	  0.89	 79.89%	 77.66%	  0.81	 75.86%	 83.91%	 79.89%
SVMstd_ext-MSi-norm	70	17	51	36	  0.70	  0.70	 69.54%	 66.04%	  0.73	 58.62%	 80.46%	 69.54%
SVMprob-MSi-norm	63	24	61	26	  0.74	  0.76	 71.26%	 70.79%	  0.72	 70.11%	 72.41%	 71.26%
RF-MSi-norm	62	25	70	17	  0.80	  0.81	 75.86%	 78.48%	  0.75	 80.46%	 71.26%	 75.86%
SVMstd_ext-MSi-std	53	34	75	12	  0.74	  0.74	 73.56%	 81.54%	  0.70	 86.21%	 60.92%	 73.56%
SVMprob-MSi-std	54	33	75	12	  0.79	  0.81	 74.14%	 81.82%	  0.71	 86.21%	 62.07%	 74.14%
RF-MSi-std	63	24	69	18	  0.80	  0.81	 75.86%	 77.78%	  0.75	 79.31%	 72.41%	 75.86%
