Type of exp	TP	FN	TN	FP	AUC	AUH	accuracy	precision	F1 score	specificity	sensitivity	acc est
SVMprob-MSiHR-def	87	0	0	87	  0.50	  0.50	 50.00%	 50.00%	  0.67	  0.00%	100.00%	 50.00%
RF-MSiHR-def	69	18	74	13	  0.89	  0.90	 82.18%	 84.15%	  0.82	 85.06%	 79.31%	 82.18%
SVMprob-MSiHR-extA	87	0	0	87	  0.50	  0.50	 50.00%	 50.00%	  0.67	  0.00%	100.00%	 50.00%
RF-MSiHR-extA	65	22	76	11	  0.90	  0.91	 81.03%	 85.53%	  0.80	 87.36%	 74.71%	 81.03%
SVMprob-MSiHR-extE	87	0	0	87	  0.50	  0.50	 50.00%	 50.00%	  0.67	  0.00%	100.00%	 50.00%
RF-MSiHR-extE	66	21	76	11	  0.89	  0.90	 81.61%	 85.71%	  0.80	 87.36%	 75.86%	 81.61%
SVMprob-MSiHR-extT	87	0	0	87	  0.50	  0.50	 50.00%	 50.00%	  0.67	  0.00%	100.00%	 50.00%
RF-MSiHR-extT	68	19	74	13	  0.90	  0.91	 81.61%	 83.95%	  0.81	 85.06%	 78.16%	 81.61%
SVMprob-MSiHU-def	69	18	70	17	  0.86	  0.88	 79.89%	 80.23%	  0.80	 80.46%	 79.31%	 79.89%
RF-MSiHU-def	65	22	72	15	  0.85	  0.87	 78.74%	 81.25%	  0.78	 82.76%	 74.71%	 78.74%
SVMprob-MSiHU-extA	73	14	69	18	  0.88	  0.89	 81.61%	 80.22%	  0.82	 79.31%	 83.91%	 81.61%
RF-MSiHU-extA	74	13	61	26	  0.86	  0.87	 77.59%	 74.00%	  0.79	 70.11%	 85.06%	 77.59%
SVMprob-MSiHU-extE	66	21	76	11	  0.87	  0.89	 81.61%	 85.71%	  0.80	 87.36%	 75.86%	 81.61%
RF-MSiHU-extE	74	13	62	25	  0.86	  0.88	 78.16%	 74.75%	  0.80	 71.26%	 85.06%	 78.16%
SVMprob-MSiHU-extT	72	15	69	18	  0.87	  0.89	 81.03%	 80.00%	  0.81	 79.31%	 82.76%	 81.03%
RF-MSiHU-extT	74	13	64	23	  0.86	  0.87	 79.31%	 76.29%	  0.80	 73.56%	 85.06%	 79.31%
